Feature,Importance
PAY_0,0.30304664119370517
PAY_2,0.14047032461364586
PAY_4,0.06454924207812711
PAY_3,0.05840579874773054
PAY_5,0.04905506376084169
PAY_6,0.04835028220292797
LIMIT_BAL,0.03723594359717166
PAY_AMT1,0.03357405167878603
PAY_AMT2,0.02760524012460747
BILL_AMT1,0.027019622205396727
PAY_AMT3,0.02534022399717054
BILL_AMT2,0.02497491014304084
BILL_AMT3,0.019599356135326557
PAY_AMT6,0.01948685699378383
BILL_AMT4,0.019474908981557803
BILL_AMT5,0.018960363682461675
PAY_AMT5,0.018923213578441542
AGE,0.01839772365765269
PAY_AMT4,0.01826969014789495
BILL_AMT6,0.016985036111997195
EDUCATION,0.005463203863191523
MARRIAGE,0.00269583058500305
SEX,0.0021164719195376613
